split,sample_idx,rx_x,rx_y,path_length,delay_us,power_scaled,cluster
train,0,-42.94710159301758,-18.664499282836914,3,0.1579979956150055,-0.7683889865875244,1
train,1,11.052900314331055,114.33499908447266,2,0.4495929777622223,-0.903249979019165,0
train,2,-80.94709777832031,-44.66450119018555,3,0.30899202823638916,-0.8266519904136658,20
train,3,-68.94709777832031,-13.66450023651123,3,0.2354079931974411,-0.8030250072479248,28
train,4,37.05289840698242,-51.66450119018555,1,0.21437500417232513,-0.7948949933052063,28
train,5,17.052900314331055,104.33499908447266,2,0.41078102588653564,-0.8955909609794617,16
train,6,-121.9469985961914,-70.66449737548828,1,0.47034600377082825,-0.8631500005722046,29
train,7,31.052900314331055,133.3350067138672,3,0.4580340087413788,-0.8608450293540955,29
train,8,23.052900314331055,86.33550262451172,3,0.29988399147987366,-0.8240529894828796,11
train,9,17.052900314331055,-147.6649932861328,2,0.49673399329185486,-0.8678920269012451,29
train,10,-92.94709777832031,-60.66450119018555,2,0.3706599771976471,-0.8424590229988098,4
train,11,-27.947099685668945,69.33550262451172,3,0.43869802355766296,-1.016740083694458,19
train,12,22.052900314331055,53.33549880981445,8,0.19511599838733673,-0.7867189645767212,1
train,13,47.05289840698242,-136.6649932861328,1,0.48322999477386475,-0.8654969930648804,29
train,14,28.052900314331055,99.33550262451172,3,0.3459630012512207,-0.8364689350128174,20
train,15,-24.947099685668945,-27.664499282836914,2,0.1268400102853775,-0.7493090033531189,18
train,16,28.052900314331055,-32.66450119018555,2,0.14685000479221344,-0.762033998966217,18
train,17,-97.94709777832031,-63.66450119018555,2,0.390049010515213,-0.8468879461288452,4
train,18,43.05289840698242,-91.66449737548828,1,0.3393060266971588,-0.8347820043563843,20
train,19,-106.9469985961914,-41.66450119018555,4,0.3832020163536072,-0.8453500270843506,4
train,20,118.0530014038086,-7.664529800415039,3,0.3965650200843811,-0.8483270406723022,4
train,21,-4.947050094604492,138.3350067138672,2,0.5456649661064148,-0.9203130602836609,23
